Year,Value,UNIT_MEASURE,SERIES
2003,0.01854,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2004,0.01524,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2005,0.02697,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2006,0.01969,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2007,0.02521,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2008,0.01842,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2009,0.02106,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2012,0.26533,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2013,0.32132,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2014,0.25725,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2015,0.2186,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2016,0.21594,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2017,0.20048,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2018,0.19485,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2019,0.1926,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2020,0.2061,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
2021,0.1928,Procenat,Udio izdataka za istraživanje i razvoj u ukupnom BDP-u
