Year,SERIES,UNIT_MEASURE,Пол,Value
2013.0,NY_GDP_TOUR,Проценат,,2.3
2014.0,NY_GDP_TOUR,Проценат,,2.3
2015.0,NY_GDP_TOUR,Проценат,,2.2
2016.0,NY_GDP_TOUR,Проценат,,2.2
2017.0,NY_GDP_TOUR,Проценат,,2.3
2018.0,NY_GDP_TOUR,Проценат,,2.2
2019.0,NY_GDP_TOUR,Проценат,,2.3
2020.0,NY_GDP_TOUR,Проценат,,1.7
2021.0,NY_GDP_TOUR,Проценат,,1.9
2013.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,30.3
2014.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,30.2
2015.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,30.2
2016.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,30.5
2017.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,32.2
2018.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,31.9
2019.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,31.9
2020.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,37.5
2021.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,37.8
2022.0,SL_TLF_EMP,Проценат,Оба пола или без подјеле по полу,39.6
2013.0,SL_TLF_EMP,Проценат,Мушкарци,39.7
2014.0,SL_TLF_EMP,Проценат,Мушкарци,40.1
2015.0,SL_TLF_EMP,Проценат,Мушкарци,39.4
2016.0,SL_TLF_EMP,Проценат,Мушкарци,41.1
2017.0,SL_TLF_EMP,Проценат,Мушкарци,41.7
2018.0,SL_TLF_EMP,Проценат,Мушкарци,42.0
2019.0,SL_TLF_EMP,Проценат,Мушкарци,41.6
2020.0,SL_TLF_EMP,Проценат,Мушкарци,50.2
2021.0,SL_TLF_EMP,Проценат,Мушкарци,51.0
2022.0,SL_TLF_EMP,Проценат,Мушкарци,52.5
2013.0,SL_TLF_EMP,Проценат,Жене,21.3
2014.0,SL_TLF_EMP,Проценат,Жене,20.9
2015.0,SL_TLF_EMP,Проценат,Жене,21.4
2016.0,SL_TLF_EMP,Проценат,Жене,20.6
2017.0,SL_TLF_EMP,Проценат,Жене,23.1
2018.0,SL_TLF_EMP,Проценат,Жене,22.5
2019.0,SL_TLF_EMP,Проценат,Жене,23.0
2020.0,SL_TLF_EMP,Проценат,Жене,25.5
2021.0,SL_TLF_EMP,Проценат,Жене,25.2
2022.0,SL_TLF_EMP,Проценат,Жене,27.4
,,,,
